shear_rate,shear_stress,viscosity,torque
0.0101,0.00993,0.978,0.243
0.0105,0.0103,0.983,0.251
0.0108,0.0103,0.949,0.251
0.0112,0.0105,0.938,0.256
0.0115,0.0106,0.921,0.259
0.0119,0.0106,0.888,0.259
0.0123,0.0108,0.878,0.264
0.0127,0.0109,0.854,0.266
0.0131,0.0111,0.844,0.27
0.0136,0.0114,0.841,0.278
0.014,0.0114,0.811,0.278
0.0145,0.0116,0.804,0.285
0.0149,0.012,0.805,0.293
0.0154,0.0119,0.773,0.292
0.0159,0.0124,0.78,0.304
0.0165,0.0126,0.767,0.308
0.017,0.0128,0.754,0.313
0.0176,0.0129,0.735,0.315
0.0181,0.013,0.72,0.319
0.0188,0.0132,0.704,0.323
0.0193,0.0137,0.71,0.335
0.02,0.0138,0.689,0.337
0.0206,0.0142,0.69,0.348
0.0213,0.0142,0.668,0.348
0.022,0.0144,0.655,0.352
0.0227,0.015,0.658,0.366
0.0235,0.0152,0.646,0.371
0.0243,0.0151,0.622,0.368
0.0251,0.0155,0.619,0.379
0.0259,0.0164,0.633,0.4
0.0267,0.0164,0.615,0.402
0.0276,0.0168,0.61,0.411
0.0285,0.0171,0.601,0.418
0.0294,0.017,0.579,0.416
0.0304,0.0173,0.57,0.423
0.0314,0.0176,0.561,0.431
0.0324,0.018,0.554,0.439
0.0335,0.0184,0.55,0.45
0.0346,0.0191,0.553,0.467
0.0357,0.0193,0.541,0.473
0.0369,0.0197,0.534,0.481
0.0381,0.0196,0.513,0.478
0.0394,0.0197,0.501,0.482
0.0406,0.021,0.518,0.514
0.042,0.0211,0.502,0.515
0.0434,0.0208,0.48,0.509
0.0448,0.0221,0.495,0.541
0.0463,0.0223,0.482,0.545
0.0478,0.0231,0.483,0.564
0.0494,0.0227,0.459,0.554
0.051,0.0239,0.469,0.584
0.0527,0.0243,0.461,0.594
0.0544,0.0249,0.458,0.608
0.0562,0.0255,0.454,0.624
0.058,0.0258,0.444,0.63
0.0599,0.0262,0.438,0.641
0.0619,0.0267,0.431,0.652
0.0639,0.0272,0.425,0.664
0.066,0.0279,0.422,0.681
0.0681,0.0286,0.42,0.699
0.0704,0.0296,0.421,0.724
0.0728,0.03,0.412,0.733
0.0752,0.0294,0.391,0.718
0.0775,0.0311,0.401,0.761
0.0801,0.0309,0.386,0.756
0.0828,0.0327,0.395,0.8
0.0854,0.0334,0.392,0.817
0.0882,0.0337,0.382,0.824
0.0913,0.0327,0.358,0.798
0.0942,0.0338,0.359,0.827
0.0973,0.0345,0.354,0.843
0.1,0.037,0.369,0.904
0.104,0.038,0.367,0.93
0.107,0.0368,0.343,0.899
0.111,0.0393,0.355,0.96
0.114,0.0383,0.334,0.935
0.118,0.0393,0.333,0.961
0.122,0.0407,0.334,0.995
0.126,0.0413,0.328,1.01
0.13,0.0422,0.325,1.03
0.134,0.0435,0.324,1.06
0.139,0.0433,0.312,1.06
0.143,0.0459,0.321,1.12
0.148,0.0443,0.299,1.08
0.153,0.0453,0.296,1.11
0.158,0.0476,0.301,1.16
0.163,0.0459,0.281,1.12
0.168,0.051,0.303,1.25
0.174,0.0511,0.294,1.25
0.179,0.0526,0.293,1.29
0.186,0.0523,0.282,1.28
0.192,0.0531,0.277,1.3
0.198,0.055,0.278,1.34
0.204,0.058,0.284,1.42
0.211,0.0556,0.263,1.36
0.218,0.0567,0.26,1.39
0.225,0.0581,0.258,1.42
0.232,0.0616,0.265,1.5
0.24,0.0607,0.253,1.48
0.248,0.0619,0.249,1.51
0.256,0.063,0.246,1.54
0.265,0.0618,0.233,1.51
0.273,0.067,0.245,1.64
0.282,0.0683,0.242,1.67
0.292,0.0686,0.235,1.68
0.301,0.0685,0.227,1.67
0.311,0.068,0.218,1.66
0.321,0.0698,0.217,1.71
0.332,0.0736,0.222,1.8
0.343,0.0712,0.207,1.74
0.354,0.0752,0.213,1.84
0.366,0.0746,0.204,1.82
0.378,0.0767,0.203,1.87
0.39,0.0784,0.201,1.92
0.403,0.0797,0.198,1.95
0.416,0.0818,0.197,2
0.43,0.0824,0.192,2.01
0.444,0.0848,0.191,2.07
0.459,0.0821,0.179,2.01
0.474,0.084,0.177,2.05
0.489,0.087,0.178,2.13
0.505,0.0879,0.174,2.15
0.521,0.091,0.174,2.22
0.539,0.0917,0.17,2.24
0.557,0.0893,0.16,2.18
0.575,0.0917,0.159,2.24
0.593,0.0979,0.165,2.39
0.613,0.0959,0.156,2.34
0.633,0.0987,0.156,2.41
0.654,0.0976,0.149,2.38
0.675,0.103,0.152,2.52
0.698,0.103,0.148,2.52
0.721,0.104,0.144,2.53
0.744,0.106,0.143,2.6
0.769,0.108,0.141,2.65
0.794,0.108,0.136,2.65
0.82,0.111,0.135,2.72
0.847,0.116,0.137,2.83
0.875,0.116,0.132,2.82
0.904,0.115,0.128,2.82
0.933,0.121,0.13,2.96
0.964,0.121,0.126,2.96
0.995,0.124,0.124,3.02
1.03,0.126,0.123,3.08
1.06,0.128,0.12,3.12
1.1,0.131,0.12,3.21
1.13,0.133,0.117,3.24
1.17,0.135,0.115,3.3
1.21,0.139,0.115,3.39
1.25,0.139,0.111,3.39
1.29,0.14,0.109,3.42
1.33,0.141,0.106,3.45
1.37,0.145,0.105,3.54
1.42,0.146,0.103,3.57
1.47,0.148,0.101,3.61
1.51,0.15,0.0993,3.68
1.56,0.153,0.0975,3.73
1.62,0.157,0.0969,3.83
1.67,0.161,0.0964,3.93
1.72,0.161,0.0936,3.94
1.78,0.165,0.0925,4.03
1.84,0.168,0.0913,4.1
1.9,0.17,0.0895,4.15
1.96,0.172,0.0878,4.21
2.03,0.176,0.087,4.31
2.09,0.179,0.0856,4.38
2.16,0.181,0.0838,4.43
2.23,0.184,0.0826,4.5
2.31,0.189,0.0818,4.61
2.38,0.19,0.0799,4.65
2.46,0.194,0.0788,4.74
2.54,0.197,0.0774,4.81
2.62,0.2,0.0763,4.89
2.71,0.203,0.0749,4.96
2.8,0.207,0.074,5.06
2.89,0.21,0.0727,5.14
2.99,0.212,0.0711,5.19
3.08,0.216,0.0702,5.29
3.18,0.221,0.0694,5.4
3.29,0.224,0.068,5.47
3.4,0.227,0.0668,5.54
3.51,0.23,0.0656,5.63
3.62,0.234,0.0644,5.71
3.74,0.236,0.0631,5.77
3.87,0.239,0.0619,5.85
3.99,0.243,0.0609,5.95
4.12,0.246,0.0596,6.01
4.26,0.25,0.0587,6.11
4.4,0.254,0.0577,6.21
4.54,0.256,0.0565,6.27
4.69,0.261,0.0557,6.38
4.85,0.265,0.0547,6.48
5,0.27,0.0539,6.6
5.17,0.276,0.0535,6.76
5.34,0.278,0.0521,6.8
5.51,0.282,0.0512,6.9
5.7,0.287,0.0505,7.02
5.88,0.291,0.0495,7.12
6.08,0.296,0.0488,7.25
6.27,0.298,0.0475,7.29
6.48,0.304,0.0469,7.43
6.69,0.309,0.0461,7.54
6.91,0.314,0.0455,7.68
7.14,0.319,0.0446,7.79
7.37,0.325,0.0441,7.94
7.62,0.331,0.0435,8.09
7.87,0.335,0.0425,8.18
8.12,0.343,0.0422,8.39
8.39,0.347,0.0413,8.48
8.67,0.351,0.0405,8.58
8.95,0.356,0.0398,8.7
9.25,0.36,0.039,8.8
9.55,0.365,0.0382,8.92
9.86,0.37,0.0375,9.04
10.2,0.377,0.037,9.22
10.5,0.381,0.0362,9.3
10.9,0.385,0.0354,9.4
