shear_rate,shear_stress,viscosity,torque
0.0101,0.00691,0.683,0.169
0.0105,0.00679,0.647,0.166
0.0108,0.00746,0.691,0.182
0.0112,0.00737,0.66,0.18
0.0115,0.00752,0.652,0.184
0.0119,0.00799,0.672,0.195
0.0123,0.00799,0.65,0.195
0.0127,0.00806,0.633,0.197
0.0131,0.00848,0.646,0.207
0.0135,0.00859,0.635,0.21
0.014,0.00884,0.631,0.216
0.0144,0.00927,0.642,0.226
0.0149,0.00941,0.63,0.23
0.0154,0.00948,0.614,0.232
0.0159,0.0103,0.65,0.253
0.0164,0.0102,0.623,0.25
0.017,0.0103,0.608,0.253
0.0175,0.011,0.628,0.269
0.0181,0.0111,0.612,0.271
0.0187,0.0115,0.613,0.281
0.0193,0.0122,0.633,0.299
0.02,0.012,0.602,0.294
0.0207,0.0125,0.603,0.304
0.0213,0.0129,0.606,0.315
0.022,0.0131,0.597,0.321
0.0228,0.0136,0.598,0.333
0.0234,0.0142,0.604,0.346
0.0242,0.0143,0.59,0.349
0.0251,0.0144,0.573,0.351
0.0259,0.0151,0.582,0.368
0.0267,0.0154,0.576,0.376
0.0276,0.0163,0.589,0.397
0.0285,0.017,0.596,0.415
0.0294,0.0171,0.582,0.419
0.0304,0.0178,0.584,0.434
0.0313,0.0185,0.591,0.453
0.0325,0.0186,0.572,0.454
0.0335,0.0196,0.585,0.478
0.0346,0.0199,0.575,0.486
0.0358,0.02,0.558,0.488
0.0369,0.02,0.541,0.488
0.0381,0.0209,0.549,0.511
0.0394,0.0221,0.561,0.54
0.0407,0.0219,0.537,0.534
0.042,0.0226,0.538,0.552
0.0434,0.0239,0.55,0.584
0.0448,0.0241,0.538,0.588
0.0463,0.0253,0.547,0.619
0.0478,0.0248,0.519,0.607
0.0493,0.0265,0.537,0.647
0.0509,0.0267,0.525,0.653
0.0527,0.0267,0.506,0.652
0.0544,0.0279,0.512,0.681
0.0562,0.0288,0.513,0.704
0.058,0.0299,0.514,0.73
0.0599,0.0306,0.511,0.748
0.0619,0.0312,0.505,0.764
0.0639,0.0319,0.499,0.78
0.066,0.0325,0.493,0.795
0.0682,0.0333,0.489,0.815
0.0704,0.0344,0.488,0.84
0.0727,0.0353,0.485,0.862
0.0751,0.0372,0.495,0.908
0.0777,0.0365,0.471,0.893
0.0801,0.0385,0.481,0.941
0.0827,0.0393,0.475,0.961
0.0856,0.0387,0.452,0.945
0.0884,0.0404,0.457,0.987
0.0913,0.0416,0.455,1.02
0.0943,0.0424,0.45,1.04
0.0974,0.0421,0.432,1.03
0.1,0.0447,0.446,1.09
0.104,0.0475,0.458,1.16
0.107,0.0464,0.432,1.13
0.111,0.0497,0.449,1.21
0.114,0.0505,0.442,1.23
0.118,0.0512,0.434,1.25
0.122,0.0527,0.432,1.29
0.126,0.0539,0.428,1.32
0.13,0.0541,0.416,1.32
0.134,0.0562,0.418,1.37
0.139,0.0572,0.412,1.4
0.143,0.0589,0.412,1.44
0.148,0.0581,0.392,1.42
0.153,0.0593,0.388,1.45
0.158,0.06,0.38,1.47
0.163,0.064,0.393,1.57
0.169,0.0634,0.376,1.55
0.174,0.0655,0.377,1.6
0.18,0.0667,0.371,1.63
0.185,0.0675,0.364,1.65
0.192,0.0684,0.357,1.67
0.198,0.0718,0.363,1.75
0.205,0.0688,0.336,1.68
0.211,0.0703,0.333,1.72
0.218,0.0709,0.325,1.73
0.225,0.076,0.338,1.86
0.233,0.0738,0.317,1.8
0.24,0.0731,0.304,1.79
0.248,0.0793,0.32,1.94
0.256,0.0811,0.317,1.98
0.265,0.0794,0.3,1.94
0.274,0.082,0.3,2
0.283,0.0807,0.285,1.97
0.292,0.0867,0.297,2.12
0.301,0.0878,0.291,2.15
