shear_rate,shear_stress,viscosity,torque
0.0101,0.0105,1.04,0.258
0.0105,0.0105,0.997,0.256
0.0108,0.011,1.02,0.269
0.0111,0.0115,1.03,0.281
0.0115,0.0116,1.01,0.284
0.0119,0.0118,0.991,0.289
0.0123,0.012,0.976,0.293
0.0127,0.0122,0.958,0.298
0.0131,0.0129,0.986,0.315
0.0136,0.0131,0.965,0.32
0.014,0.0132,0.939,0.322
0.0144,0.0141,0.976,0.344
0.0149,0.014,0.937,0.342
0.0154,0.0144,0.933,0.352
0.0159,0.0148,0.93,0.362
0.0165,0.0154,0.936,0.376
0.017,0.0156,0.917,0.381
0.0175,0.0162,0.924,0.396
0.0182,0.0163,0.898,0.398
0.0187,0.0172,0.918,0.42
0.0193,0.0177,0.918,0.433
0.02,0.0175,0.873,0.427
0.0206,0.0184,0.89,0.449
0.0212,0.0191,0.899,0.467
0.022,0.0189,0.856,0.461
0.0227,0.0199,0.876,0.486
0.0235,0.0201,0.857,0.492
0.0242,0.0205,0.846,0.501
0.025,0.0211,0.845,0.517
0.0259,0.0212,0.819,0.519
0.0267,0.0224,0.838,0.547
0.0276,0.0231,0.839,0.566
0.0285,0.0238,0.836,0.582
0.0295,0.0245,0.832,0.599
0.0304,0.0253,0.834,0.619
0.0314,0.0257,0.817,0.627
0.0324,0.0261,0.806,0.639
0.0335,0.0269,0.802,0.657
0.0346,0.0275,0.796,0.673
0.0357,0.0278,0.778,0.68
0.0369,0.0287,0.777,0.701
0.0381,0.0289,0.757,0.706
0.0393,0.0308,0.782,0.752
0.0406,0.0317,0.78,0.775
0.042,0.0312,0.743,0.764
0.0433,0.0331,0.763,0.808
0.0448,0.034,0.759,0.831
0.0463,0.0342,0.739,0.835
0.0478,0.035,0.733,0.856
0.0493,0.0364,0.738,0.889
0.051,0.0371,0.727,0.906
0.0526,0.0387,0.735,0.945
0.0544,0.039,0.717,0.953
0.0562,0.0397,0.707,0.971
0.058,0.0412,0.71,1.01
0.0599,0.0425,0.708,1.04
